tanggal_gabungan,product,kategori,batch,umur,region,kategori_kesibukan,kategori_pekerjaan,combined,motivation_cloud,channel_clean
2024-01-04,AI Machine Learning,CAJC,2.0,40.0,jabodetabek,Pekerja,Private Employee,Ingin mengikuti perkembangan digital Silabus,ikut kembang digital silabus,youtube
2024-01-04,Digital Marketing,JCJC+,23.0,28.0,jabodetabek,Usaha,Entrepreneur / Self-Employed,Ingin kembali bekerja di bidang digital marekting sedangkan untuk saat ini hanya berbisnis saja jadi ingin membangun portfolio dan sertifikat supaya bisa mendukung untuk apply pekerjaan lagi Job connector,bidang digital marekting bisnis bangun portfolio sertifikat dukung apply kerja job connector,instagram
2024-01-04,Digital Marketing,JCJC+,23.0,27.0,outside_java,Pekerja,Private Employee,"Tidak memiliki background digital marekting walaupun memang tertarik digital marekting jadi memang sudah follow dibimbing dari lama dan tau ada kesempatan ini jadi langsung gas join untuk bisa upgrade skill (ads, content organic) untuk memang growth career Portfolio building,",milik background digital marekting tarik digital marekting follow bimbing tau sempat langsung gas join upgrade skill ads content organic growth career portfolio building,instagram
2024-01-04,Digital Marketing,JCJC+,23.0,28.0,jabodetabek,Pekerja,Private Employee,ingin belajar seputar dunia digital / upgrade skill dan berkesinambungan dengan pekerjaan dan ingin belajar digital marketing supaya bisa diaplikasikan di perusahaan Portofolio alumni dibimbing lebih padet isinya dan jelas,ajar putar dunia digital upgrade skill sambung kerja ajar digital marketing aplikasi usaha portofolio alumni bimbing padet isi,instagram
2024-01-04,Digital Marketing,JCJC+,23.0,26.0,outside_java,Pekerja,Private Employee,"Ingin belajar bagaimana memasarkan sebuah produk melalui digital dan digital marketing memiliki prospek yang luas Websitenya penjelasannya lengkap, testimoni dari alumi menarik, beneffitnya bagus dan dari segi harga affordable",ajar pasar produk digital digital marketing milik prospek luas websitenya jelas lengkap testimoni alum tarik beneffitnya bagus segi harga affordable,instagram
2024-01-04,Digital Marketing,JCJC+,23.0,34.0,jabodetabek,Pekerja,Private Employee,Karena Digital Marketing new skill dan perusahaan yang ada orang korea terrlalu capek jadi tidak bisa membagi antara kehidupan personal dan pekerjaan jadi ingin belajar hal-hal baru dan tentunya ingin menambah skill serta tertarik untuk kerja WFH Website lengkap dan terkait silabusnya lengkap,digital marketing new skill usaha orang korea terrlalu capek bagi hidup personal kerja ajar tambah skill tarik kerja wfh website lengkap kait silabus lengkap,referral
2024-01-05,Data Science,JCJC+,25.0,26.0,java_non_jabodetabek,Job seeker,Job Seeker / Unemployed,ingin switch career di Data Science karena melihat dari info loker saat ini banyak yang membutuhkan posisi data science dan melihat data science merupakan posisi yang terus berkembang dan dapat bekerja secara WFH sehingga membuat tertarik saya untuk belajar Data Science Harganya Affrodble dan sudah dapat testimoni real dari temennya,switch career data science info loker butuh posisi data science data science posisi kembang wfh tarik ajar data science harga affrodble testimoni real temennya,referral
2024-01-05,Data Science,JCJC+,25.0,30.0,jabodetabek,Pekerja,Other,"Suka berhubungan dengan mathematic dan mengikuti fenomena bahwa pekerjaan yang dicari adalah data science sehingga tertarik dan ingin switch career di data science kerena udah 8 tahun di dunia learnng development Jadwalnya, fasilitas Job Connector",suka hubung mathematic ikut fenomena kerja cari data science tarik switch career data science rena udah dunia learnng development jadwal fasilitas job connector,instagram
2024-01-08,Data Science,JCJC+,25.0,21.0,outside_java,Mahasiswa,Student,Ingin switch career di Data Science karena saat ini untuk jurusan kuliah di peternakan dan kurang minat dan untuk saat ini minatnya lebih ke data science karena sebelumnya pernah mendapat akses belajar  gratis dari Tokopedia  dan progreid  (selama 3 bulan free) terkait introduction paiten dan machine learning waktu semester 2 dan merasa tertarik dengan pembelajaran tsb sehigga memutuskan untuk mengasah skill di data science serta ingin bekerja WFH karena melihat peluang career di Data Science ini banyak loker yang menyediakan WFH Review di Goole paling bagus/tinggi dari platform lain,switch career data science jurus kuliah terna minat minat data science akses ajar gratis tokopedia progreid free kait introduction paiten machine learning semester tarik ajar tsb sehigga putus asah skill data science wfh peluang career data science loker sedia wfh review goole bagus platform,google
2024-01-08,Digital Marketing,JCJC+,23.0,24.0,outside_java,Pekerja,Private Employee,Ingin mengasah skill karena saat ini juga mengikuti  bootcamp di platform lain (Purwadika) mengambil data scinece dan data analyst dan ternyata kesulitan sehingga mencoba yang digital marketing dan juga tertarik dengan penyaluran kerja Waktunya (Weekend) dan harga affordable,asah skill ikut bootcamp platform purwadika ambil data scinece data analyst sulit coba digital marketing tarik salur kerja weekend harga affordable,instagram
2024-01-09,Data Science,JCJC+,25.0,31.0,jabodetabek,Pekerja,Other,"Karena kedepannya teknologi terus berkembang dan sudah memiliki pengalaman di dunia engineering melihat prospek terkait data science yang basicnya teknologi sangat besar dan tidak akan ada matinya dan memang sudah tertarik dengan data science, data analyst, AI sehingga mencoba keluar zona nyaman sweetch career dengan mengikuti program di dibimbing Kualitasnya, CS nya informatif serta fast respon, alumninya banyak dan banyak bekerja sama dengan perusahaannya besar",depan teknologi kembang milik alam dunia engineering prospek kait data science basicnya teknologi mati tarik data science data analyst ai coba zona nyaman sweetch career ikut program bimbing kualitas cs nya informatif fast respon alumni usaha,instagram
2024-01-09,AI Machine Learning,CAJC,2.0,24.0,java_non_jabodetabek,Pekerja,Student,Saat S1 dengan Jurusan Ilmu komputer itu mengambil skripsian mengambil topik yang linier dengan machine learning lalu tertarik dan merasa lebih mudah daripada yang lain lalu lanjut S2 di UGM dengan jurusan kecerdasan Artifisial selain untuk menunjang terkait dibidang academik juga mendapat nasihat dari temen-temennya jika setelah lulus S1 HR banyak yang mempertanyakan terkait pengalaman botcamp lalu karena sekarang memiliki waktu luang dan memutuskan untuk mengikuti bootcamp serta tertarik dengan penyaluran kerjanya yang ada dibimbing dan ingin bekerja dibidang machine learning Harga Affordable dan Job Connector,s jurus ilmu komputer ambil skripsi ambil topik linier machine learning tarik mudah s ugm jurus cerdas artifisial tunjang kait bidang academik nasihat temen temennya lulus s hr kait alam botcamp milik luang putus ikut bootcamp tarik salur kerja bimbing bidang machine learning harga affordable job connector,instagram
2024-01-09,Data Science,JCJC+,25.0,24.0,java_non_jabodetabek,Pekerja,Other,Sesuai perkataan orang-orang kalau data akan terus berkembang sehingga saat ini ingin upgrade diri terkait di data science dan tertarik dengan job connector Sudah terafiliasi dengan kampus merdeka dan program-program nya bagus dan trusted,sesuai kata orang orang data kembang upgrade kait data science tarik job connector afiliasi kampus merdeka program program nya bagus trusted,instagram
2024-01-10,Data Science,JCJC+,25.0,22.0,outside_java,Fresh Graduate,Job Seeker / Unemployed,"Mengasah Skill sembari mencari kerja dan data science sekarang lagi on point lalu pengen coba supaya berguna untuk mencari pekerjaan dan ingin switch career Mentornya berpengalaman, Job Connector dan mitranya banyak",asah skill sembari cari kerja data science on point ken coba guna cari kerja switch career mentor alam job connector mitra,instagram
2024-01-10,Data Science,JCJC+,25.0,34.0,outside_java,Pekerja,Other,"Untuk melengkapi tujuan tentang membuat aplikasi, komputer vision dan yang belum dipelajari terkait dengan data science Harganya Affordable",lengkap tuju aplikasi komputer vision ajar kait data science harga affordable,referral
2024-01-10,Web Development (FE),JCJC+,17.0,22.0,jabodetabek,Job seeker,Job Seeker / Unemployed,karena mengetahui kelemahan dirinya dibidang front end sehingga ingin mengasah kemampuan tersebut dengan mengikuti bootcamp dan untuk menambah ilmu serta  ingin mendapatkan pekerjaan Reviewnya menarik,lemah bidang front end asah mampu ikut bootcamp tambah ilmu kerja reviewnya tarik,tiktok
2024-01-10,Digital Marketing,JCJC+,23.0,28.0,outside_java,Pekerja,Private Employee,"Karena ingin mencari peluang bekerja di pulau jawa dan berharap dengan adanya job connector di dibimbing bisa mendapatkan pekerjaan dan dapat kembali ke Jawa lalu alasan berikutnya karena digital marketing adalah passionnya sehingga ingin mengembangkan skill tersebut serta merasa digital marketing bisa menjamin secara luas untuk kedepannya karena bisa dipandang sebagai peluang yang okee dan bisa menambah wawasan dengan digital marketing Silabusnya lengkap, Job Connector dan harga affordable",cari peluang pulau jawa harap job connector bimbing kerja jawa alas digital marketing passionnya kembang skill digital marketing jamin luas depan pandang peluang okee tambah wawas digital marketing silabus lengkap job connector harga affordable,referral
2024-01-11,UI/UX,JCJC+,24.0,32.0,outside_java,Pekerja,Healthcare Professional,Ingin belajar terkait UI UX dan karena sebelumnya suka design sehingga ingin menambah pengetahuan terkait UI UX Harga affordable dan silabusnya lengkap,ajar kait ui ux suka design tambah tahu kait ui ux harga affordable silabus lengkap,google
2024-01-11,Business Intelligence,CAJC,9.0,23.0,java_non_jabodetabek,Fresh Graduate,Job Seeker / Unemployed,"Ingin melebarkan sayap di dunia data dan ingin meluaskan pengalamannya karena sebelumnya berkarir di biding UI/UX dan ingin mendapat value career yang lebih lalu belajar terkait bussiness intelegence Mengajari student dari 0, kurikulum sesuai dengan industri saat ini dan Job Connector serta silabusnya",lebar sayap dunia data luas alam berkarir biding ui ux value career ajar kait bussiness intelegence ajar student kurikulum sesuai industri job connector silabus,instagram
2024-01-11,AI Machine Learning,CAJC,2.0,26.0,java_non_jabodetabek,Pekerja,Private Employee,Karena pernah belajar Data Science di Rakaming Academy tetapi masih merasa kurang sehingga melihat di dibimbing lengkap terkait materinya lalu mendaftar Bootcamp dan tentunya ingin mempelajari lebih dalam terkait dengan Machine Learning di dibimbing Harga Affordable dan Silabusnya lengkap (ada materi yang membuat penasaran),ajar data science rakaming academy bimbing lengkap kait materi daftar bootcamp ajar kait machine learning bimbing harga affordable silabus lengkap materi penasaran,referral
2024-01-11,Digital Marketing,JCJC+,23.0,22.0,outside_java,Pekerja,Academic / Education,"Karena baru lulus dan melihat peluang pekerjaan di Digital Marketing luas membuat ingin terjun ke dunia digital sehingga mengikuti bootcamp Pernah mengikuti digital skill fair melihat mentor nya enak menjelaskannya, lingkungannya nyaman dan materinya sampai/lengkap",lulus peluang kerja digital marketing luas terjun dunia digital ikut bootcamp ikut digital skill fair mentor nya enak jelas lingkung nyaman materi lengkap,instagram
2024-01-11,Digital Marketing,JCJC+,23.0,23.0,jabodetabek,Job seeker,Job Seeker / Unemployed,Karena sebelumnya diperbankan dan kurang cocok dengan industrinya lalu melihat sekarang itu kebanyakan hybrid (WFH) dan digital marketing itu luas sehingga tertarik mempelajari digital marketing serta bassicnya suka membuat content dan masih ragu untuk post karyanya sehingga ingin mengasah kemampuan tersebut Mendapat testimoni dari temen jika fasilitas yang disediakan Dibimbing okee dan materinya lengkap,perban cocok industri banyak hybrid wfh digital marketing luas tarik ajar digital marketing bassicnya suka content ragu post karya asah mampu testimoni temen fasilitas sedia bimbing okee materi lengkap,tiktok
2024-01-12,Data Science,JCJC+,25.0,24.0,outside_java,Fresh Graduate,Job Seeker / Unemployed,Karena Bassicnya Fisika sudah belajar banyak data dan tertarik dan berkutik di commuter dan merasa passionnya di data science sehingga ingin memperdalan tentang data science serta tertarik dengan job connectornya Harganya Affordable,bassicnya fisika ajar data tarik kutik commuter passionnya data science dal data science tarik job connectornya harga affordable,referral
2024-01-15,Business Intelligence,CAJC,9.0,27.0,java_non_jabodetabek,Pekerja,Entrepreneur / Self-Employed,"Sebelumnya pernah punya kenalan sebagai product manager dan dari situ melihat peluang dari product manager, digital marketing dan bussiness intelegence dan sempet bertanya kepada tim dibimbing sebelumnya jika pekerjaan yang tidak harus ke kantor itu salah satunya bussiness intelegence (bisa WFH) dan sempat searching terkait Bussiness Intelegence dan ternyata tertarik apalagi Bussiness Intelegence ini ilmunya terus berkembang jadi menarik untuk dicoba Jadwalnya di weekend, customer servicenya komunikatif dan silabusnya lengkap",kenal product manager situ peluang product manager digital marketing bussiness intelegence sempet tim bimbing kerja kantor salah satu bussiness intelegence wfh searching kait bussiness intelegence tarik bussiness intelegence ilmu kembang tarik coba jadwal weekend customer servicenya komunikatif silabus lengkap,instagram
2024-01-15,Product Management,JCJC+,9.0,32.0,jabodetabek,Pekerja,Private Employee, Harga Affordable dan Job Connector,harga affordable job connector,instagram
2024-01-15,Business Intelligence,CAJC,9.0,36.0,jabodetabek,Pekerja,Private Employee,"Sudah bekerja didunia marketing cukup lama dan merasa semua effort harus efisien dan data adalah hal penting yang perlu di eksplore sehingga perlu untuk dipelajari dan tentunya ingin upgrade skill dan bukan untuk switch career Harga affordable, Silabus cukup menarik (materi bagian akhir seperti phiton)",dunia marketing effort efisien data eksplore ajar upgrade skill switch career harga affordable silabus tarik materi phiton,instagram
2024-01-16,Data Science,JCJC+,25.0,25.0,jabodetabek,Pekerja,Private Employee,Waktu SMA suka Matematika  dan waktu kuliah berpikir jika dapat menambah skill matematika dan setelah terjun ke dunia kerja ternyata untuk bidang yang dipakai kurang memaksimalkan potensinya sehingga mengikuti bootcamp untuk memperluas pendidikan dan menambah opportunity yang berguna untuk pekerjaan-pekerjaan lain yang akan saya tuju serta ingin mengetahui standar data science yang dibutuhkan di dunia kerja saat ini Harga Affordable,sma suka matematika kuliah pikir tambah skill matematika terjun dunia kerja bidang pakai maksimal potensi ikut bootcamp luas didik tambah opportunity guna kerja kerja tuju standar data science butuh dunia kerja harga affordable,instagram
2024-01-16,Digital Marketing,JCJC+,23.0,23.0,jabodetabek,Pekerja,Private Employee,"Pernah mengikuti mini course selama 2 minggu lalu tertarik dan ingin belajar lebih terkait digital marketing khususnya ke performance marketing dan memiliki rasa penasaran dengan digital marketing sehingga bisa membantu pekerjaan saat ini dan untuk jangka panjang nya bisa untuk ke pekerjaan berikutnya Harga Affordable, sesuai rekomendasi dan review temen untuk memilih Dibimbing, silabusnya lengkap",ikut mini course minggu tarik ajar kait digital marketing performance marketing milik penasaran digital marketing bantu kerja jangka nya kerja harga affordable sesuai rekomendasi review temen pilih bimbing silabus lengkap,referral
2024-01-17,Business Intelligence,CAJC,9.0,30.0,jabodetabek,Usaha,Entrepreneur / Self-Employed,"2 sampai 3 bulan ini tertarik dengan bussiness intelegence dan makin penasaran dan merasa sotwarenya bisa diimplementasikan di bisnis dan ingin belajar lebih jauh terkait Bussiness Intelegence Harga Affordable, Mentornya berpengalaman, kurikulumnya oke",tarik bussiness intelegence penasaran sotwarenya implementasi bisnis ajar kait bussiness intelegence harga affordable mentor alam kurikulum oke,instagram
2024-01-17,Web Development (FE),JCJC+,17.0,30.0,outside_java,Pekerja,Private Employee,"Untuk mengembangkan career di bidang Web development Front End karena menjadi IT support dii rumah sakit sudah lama selama 4 tahun dan merasa masalah career itu stag dan masalah gaji juga pas-pasan sehingga ingin keluar zona nyaman untuk berkarir di programmer dan melihat dari temen-temennya yang berkarir di hal tsb relasinya banyak dan careernya berkembang serta diarahkan untuk mengikuti bootcamp dari situ termotivasi untuk mengikuti bootcamp web development Harga affordable, Mentornya, Silabus nya lengkap dan Job Connector",kembang career bidang web development front end it support dii rumah sakit career stag gaji pas pas zona nyaman berkarir programmer temen temennya berkarir tsb relasi careernya kembang arah ikut bootcamp situ motivasi ikut bootcamp web development harga affordable mentor silabus nya lengkap job connector,instagram
2024-01-17,Digital Marketing,JCJC+,23.0,24.0,jabodetabek,Fresh Graduate,Job Seeker / Unemployed,"Kerena selama freelance lebih dipercaya untuk negosiasi dengan klien dan pernah design graphic, photography dan akhirnya dari semua yang sudah dicoba yang paling cocok itu digital marketing dan merasa diperkuliahan yang dipejari teoritis sehingga dengan mengikuti bootcamp ini ingin menambah ilmu yang bersifat praktik Mentornya oke, dari website lengkap, silabusnya lengkap",rena freelance percaya negosiasi klien design graphic photography coba cocok digital marketing kuliah jari teoritis ikut bootcamp tambah ilmu sifat praktik mentor oke website lengkap silabus lengkap,referral
2024-01-18,Business Intelligence,CAJC,9.0,26.0,jabodetabek,Other,Job Seeker / Unemployed,Waktu job seeking di Jakarta job-job yang dicari terkait projec itu membutuhkan pemahaman atas SQL atau Data dan itu masih belum mengambil di perkuliahan atau belum mempelajari hal tsb sehingga sekarang inginmempelajari materi tsb di Dibimbing Harga Affordable,job seeking jakarta job job cari kait projec butuh paham sql data ambil kuliah ajar tsb inginmempelajari materi tsb bimbing harga affordable,referral
2024-01-18,Digital Marketing,JCJC+,23.0,22.0,jabodetabek,Job seeker,Job Seeker / Unemployed,"tertarik dengan digital marketing karena ingin menambah income dan saat ini sedang kerjasama dengan unclenya dan merasa untuk ilmu digital marketing masih belum banyak sehingga mengikuti bootcamp di Dibimbing Silabusnya lengkap, materinya cocok dan jadwalnya sesuai",tarik digital marketing tambah income kerjasama unclenya ilmu digital marketing ikut bootcamp bimbing silabus lengkap materi cocok jadwal sesuai,other
2024-01-18,Digital Marketing,JCJC+,23.0,25.0,outside_java,Pekerja,Private Employee,"Karena melihat semua serba online dan pernah jualan online hanya pakai instagram ads dan melihat orang lain pakai shopee dll jadi pengen tahu lebih tentang itu dan ingin freelance terkait digital marketing karena sekarang perusahaan berlomba-lomba meng hiring orang supaya perusahaannya dikenal Silabusnya lengkap, Harga Affordable (rangenya tengah ngga mahal dan ngga murah)",serba online jual online pakai instagram ads orang pakai shopee dll ken freelance kait digital marketing usaha lomba lomba meng hiring orang usaha kenal silabus lengkap harga affordable rangenya ngga mahal ngga murah,google
2024-01-19,Web Development (FE),JCJC+,17.0,21.0,jabodetabek,Pekerja,Freelancer / Part-Time,"Karena merasa kuliah di salah satu kampus yang bisa disambi bekerja sebagai barista dan bergabung di EO dan berharap dengan bergabung bootcamp ini bisa menjadi jembatan untuk menunjang karier dan menunjang jurusan kuliah terkait sistem informasi serta alasan berikutnya tertarik dengan frond end yang memerlukan basic programming dan ingin mempelajarinya untuk menambah soft skill Testimoni nya oke, Harga Affordable",kuliah salah kampus sambi barista gabung eo harap gabung bootcamp jembatan tunjang karier tunjang jurus kuliah kait sistem informasi alas tarik frond end basic programming ajar tambah soft skill testimoni nya oke harga affordable,instagram
2024-01-19,UI/UX,JCJC+,24.0,23.0,jabodetabek,Pekerja,Private Employee,"tertarik dengan UI UX karena merasa cocok dengan passion lebih kearah Cyber Psychologi yang merupakan bagian UI/UX yang bisa implement dibidang psychologi dan ingin switch career ke UI UX Tertarik dengan portofolio alumni, range harga cocok,kurikulumnya dan job connector",tarik ui ux cocok passion arah cyber psychologi ui ux implement bidang psychologi switch career ui ux tarik portofolio alumni range harga cocok kurikulum job connector,instagram
2024-01-19,Digital Marketing,JCJC+,23.0,26.0,outside_java,Pekerja,Private Employee,"Tertarik karena sekarang apa-apa sosmed dan suka bidang selling karena pas kuliah terbiasa jualan mengirim barang dari Malang ke Kalimantan dan melihat proses penjualan tidak jauh dari teknologi misal sekarang seperti handle FB Ads, Instagram Ads, Tik tok Ads semuanya berhubungan dengan penjualan jadi membuat tertarik serta awalnya tahu social media specialist  lalu melihat banyak iklan lewat terkait digital marketing terus tertarik aja dan ingin swetch career ke digital marketing CS nya ramah dan komunikatif membuat nyaman, harga affordable dan insting untuk daftar ke dibimbing kuat",tarik sosmed suka bidang selling pas kuliah biasa jual kirim barang malang kalimantan proses jual teknologi handle fb ads instagram ads tik tok ads hubung jual tarik social media specialist iklan kait digital marketing tarik aja swetch career digital marketing cs nya ramah komunikatif nyaman harga affordable insting daftar bimbing kuat,instagram
2024-01-22,Digital Marketing,JCJC+,23.0,23.0,jabodetabek,Fresh Graduate,Job Seeker / Unemployed,"Karena sebagai fresh graduate kebetulan agak sulit untuk mencari pekerjaan dan kebetulan sekarang membatu usaha keluarga jadi dengan adanya digital marketing berharap usaha keluarga bisa terjun di era digital marketing karena dalam usaha ini masih tradisional (menggunakan Whatsapp aja) dan berharap dengan mengikuti bootcamp di dibimbing terutama materi-materinya bisa mengembangkan saya dan menambah wawasan seputar digital Mentornya oke, Internship dan Job Connector",fresh graduate sulit cari kerja batu usaha keluarga digital marketing harap usaha keluarga terjun era digital marketing usaha tradisional whatsapp aja harap ikut bootcamp bimbing materi materi kembang tambah wawas putar digital mentor oke internship job connector,instagram
2024-01-23,Data Science,JCJC+,25.0,38.0,jabodetabek,Pekerja,Private Employee,Alasan belajar data science khususnya di HR ini karena melihat berkembangan big data semakin masif yang untuk mengambil keputusan semua delivernya dari data oleh karena itu kemampuan mengolah data menjadi kebutuhan yang wajib dimiliki oleh HR dan tentunya ingin meningkatkan productivity karyawan setelah selesai mengikuti pelatihan data science di HR Silabus,alas ajar data science hr kembang big data masif ambil putus delivernya data mampu olah data butuh wajib milik hr tingkat productivity karyawan selesai ikut latih data science hr silabus,instagram
2024-01-23,UI/UX,JCJC+,24.0,22.0,jabodetabek,Pekerja,Private Employee,Karena tertarik dengan Graphic design dan berhubungan dengan ngedesign aplikasi atau web memang tertarik aja Internship dan Job Connector,tarik graphic design hubung ngedesign aplikasi web tarik aja internship job connector,instagram
2024-01-23,Data Engineering,CAJC,4.0,32.0,jabodetabek,Pekerja,Private Employee,pengen tahu terkait data engineering (big data) dan ada clien yang berkaitan dengan big data jadi sekalian belajar dan karena memang dikantor sedang ada kebutuhan untuk big data jadi ada user  yang mau big data dan kebetulan belum ada resourcesnya yang mengerti big data sehingga mau belajar jadi lebih untuk kebutuhan kantor Silabus lengkap dan yang sering muncul di ads Instagram Dibimbing terus,ken kait data engineering big data clien kait big data ajar kantor butuh big data user big data resourcesnya erti big data ajar butuh kantor silabus lengkap muncul ads instagram bimbing,instagram
2024-01-24,UI/UX,JCJC+,24.0,24.0,outside_java,Fresh Graduate,Job Seeker / Unemployed,sebenarnya saat kuliah sudah memiliki bassic-bassic UI/UX tetapi ikut bootcamp lebih untuk mengembangkan/memperdalam skill dan mengetahui UI/UX Design di dunia kerja seperti apa Internship,kuliah milik bassic bassic ui ux bootcamp kembang dalam skill ui ux design dunia kerja internship,google
2024-01-24,Data Engineering,CAJC,4.0,23.0,jabodetabek,Pekerja,Internship,memiliki ketertarikan di bidang data dan sebelumnya sudah pernah mengikuti pelatihan di data science sehingga ingin melanjutkan pelatihan di di data engineer untuk mendukung kemampuan di bidang data science Harga affordable,milik tari bidang data ikut latih data science lanjut latih data engineer dukung mampu bidang data science harga affordable,instagram
2024-01-24,Data Science,JCJC+,25.0,23.0,jabodetabek,Fresh Graduate,Job Seeker / Unemployed,"semangat untuk belajar data science karena pertama masih job seeker dan melihat jenjang karier sebagai data science atau data engineering lumayan promising dan nyambung dengan interest diri sendiri karena memang tertarik dengan AI, sedangkan untuk AI perlu bassic untuk data engineering juga, lalu untuk mengejar ketertarikan saya jadi perlu untuk mengambil ilmu yang lebih Harga Affordable",semangat ajar data science job seeker jenjang karier data science data engineering lumayan promising nyambung interest tarik ai ai bassic data engineering kejar tari ambil ilmu harga affordable,referral
2024-01-25,Data Science,JCJC+,25.0,23.0,outside_java,Pekerja,Private Employee,"Karena memang dari kuliah tertarik dengan coding dan data sehingga ingin memperdalam skill di data science Waktunya fleksibel, reviewnya bagus, dan silabusnya",kuliah tarik coding data dalam skill data science fleksibel reviewnya bagus silabus,instagram
